"Time","Status","Age","Transport","Independence_Level","Independence","Extraversion_Level","Extraversion","Selfcontrol_level","Selfcontrol","Anxiety_Level","Anxiety","Turnover","Industry_HighT_Group","PowerIndustry","Profession_Group","Risk_Group","Risk_Group2","RiskGroup_Profession_Industry","RiskGroup_Age_Anxiety"
"1",7.030800821,TRUE,"<=35","bus",4.1,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",7.1,"Anxious",1,"Banks","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"2",22.9650924,TRUE,"<=35","bus",4.1,"Independent",6.2,"Extraverted",5.7," NO Selfcontrol",7.1,"Anxious",1,"Banks","BCA","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"3",15.93429158,TRUE,"<=35","bus",6.2,"Independent",6.2,"Extraverted",2.6," NO Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"4",15.93429158,TRUE,"<=35","bus",7.6,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",2.5," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"5",8.410677618,TRUE,"<=35","bus",4.1,"Independent",3,"Introverted",8,"Selfcontrol",7.1,"Anxious",1,"others","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"6",8.969199179,TRUE,">35","bus",6.2,"Independent",6.2,"Extraverted",4.1," NO Selfcontrol",5.6," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"7",8.969199179,TRUE,">35","bus",6.2,"Independent",6.2,"Extraverted",4.1," NO Selfcontrol",5.6," NO Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"8",120.4435318,TRUE,"<=35","bus",5.5,"Independent",3.8,"Introverted",8,"Selfcontrol",4," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"9",8.607802875,TRUE,"<=35","bus",6.9,"Independent",8.6,"Extraverted",2.6," NO Selfcontrol",4," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"10",4.435318275,TRUE,"<=35","bus",5.5,"Independent",5.4,"Introverted",3.3," NO Selfcontrol",7.9,"Anxious",1,"Consult","BCA","Others","High Risk","Low Risk","Low Risk","High Risk"
"11",67.35112936,TRUE,">35","car",4.1,"Independent",8.6,"Extraverted",1.8," NO Selfcontrol",7.1,"Anxious",1,"manufacture","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"12",20.92813142,TRUE,"<=35","bus",6.9,"Independent",3,"Introverted",4.9," NO Selfcontrol",4.8," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"13",20.92813142,TRUE,"<=35","foot",8.4,"Independent",5.4,"Introverted",4.9," NO Selfcontrol",3.3," NO Anxious",1,"Consult","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"14",8.936344969,TRUE,"<=35","foot",6.2,"Independent",7,"Extraverted",4.1," NO Selfcontrol",7.1,"Anxious",1,"others","MOE","Others","High Risk","Medium Risk","Medium Risk","High Risk"
"15",33.57700205,TRUE,"<=35","foot",1.2,"No independent",9.4,"Extraverted",4.1," NO Selfcontrol",5.6," NO Anxious",1,"etc","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"16",16.39425051,TRUE,"<=35","car",5.5,"Independent",8.6,"Extraverted",4.9," NO Selfcontrol",4.8," NO Anxious",1,"others","MOE","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"17",15.34291581,TRUE,"<=35","bus",5.5,"Independent",5.4,"Introverted",3.3," NO Selfcontrol",4.8," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"18",26.4476386,TRUE,"<=35","bus",6.9,"Independent",5.4,"Introverted",2.6," NO Selfcontrol",5.6," NO Anxious",1,"IT","IT","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
"19",14.71868583,TRUE,">35","bus",6.9,"Independent",5.4,"Introverted",3.3," NO Selfcontrol",3.3," NO Anxious",1,"Banks","BCA","HR","Low Risk","Medium Risk","Medium Risk","Low Risk"
"20",45.37166324,TRUE,"<=35","bus",6.2,"Independent",7.8,"Extraverted",6.4,"Selfcontrol",7.9,"Anxious",1,"etc","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"21",45.37166324,TRUE,"<=35","bus",3.4,"No independent",3.8,"Introverted",5.7," NO Selfcontrol",8.7,"Anxious",1,"etc","MOE","HR","High Risk","Medium Risk","Medium Risk","High Risk"
"22",36.96098563,TRUE,">35","bus",6.2,"Independent",4.6,"Introverted",4.9," NO Selfcontrol",5.6," NO Anxious",1,"others","MOE","Others","Low Risk","Medium Risk","Medium Risk","Low Risk"
